Test Case ID,Test Case Description,Test Steps,Expected Result,Actual Result,Status,Severity Level,Assigned To,Remarks
TC001,Validate product listing page, Open product page > Verify products,product display correctly  ,product display correctly,Pass,none,   -,no issues found
TC002,Validate shop product listing page,open shop page > verify Products,product display correctly  ,product display correctly,Pass,none,   -,no issues found
TC003,validate feature component  product listing ,open feature-product component > verify display product ,product display correctly  ,product display correctly,Pass,none,    -,no issues found
TC004,validate top category product component product listing  ,open  top category component > verify product listing,product display correctly  ,product display correctly,Pass,none,  -,no issues found
TC005,validate blog page blogs display,open blog page > verify blog correctly featch  from sanity and display ,blogs correctly featch from sanity and display,blogs correctly featch from sanity and display,pass,none,  -,no issues found
TC006,validate blog component display blog,open blog component>verify display blog,featch from sanity and display correctly,featch from sanity and display correctly,pass,none, -,no issues found
TC007,validate search functionality,open shop component > verify search functinality,search and display that product that search,search and display that product that search,pass,low, -,no issues found
TC008,validate blog page search functionality,open blog page > verify blog potion search inpute correctly search blogs,blog search inpute correctly search blogs,blog search inpute correctly search blogs,pass,low,  -,no issues found
TC009,validate shop page search inpute ,open shop page > verify search inpute correctly work,search and display that product that search,search and display that product that search,Pass,low, -,no issues found
TC010,validate product page search functionality,open product page > verify product  correctly search if search,search and display that product that search,search and display that product that search,Pass,none,  -,no issues found
TC011,validate product detail page all product detail page correctly display,open product detail page id base > verify all  product detail page correctly work display,detail page correctly render display all logic working correctly ,detail page correctly render display all logic working correctly ,pass,low,  -,no issues found
Tc012,validate cart page logics all addtoCart items correctly display update delete ,open cart page >  verify all products that I add  in cart and display in cartpage we can update quantity delete oute of stock data handle ,cart items display update delet quantity update handle outofstock continue proccess,cart items display update delet quantity update handle outofstock continue proccess,pass,low, -,no issues found
Tc013,validate stock correcly update from sanity after buying product ,buy product and after that check product stock ,buy product after that stock correctly update ,buy product after that stock correctly update ,pass,low,  -, no issues found
Tc014,validate wishlist list items correctly pass in wishlist pag and display here  ,click product heart icon and add in wishlit,"Add items to the wishlist, purchase directly from the wishlist, and remove items as needed","Add items to the wishlist, purchase directly from the wishlist, and remove items as needed",pass,none, -,no issues found
Tc015,validate my all website responsive,open website in multiple screeens and see responsive,check in all screens website correclty responsive,check in all screens website correclty responsive, pass,none, -,no issues found
Tc016,validate  stripe logic ,Click the Checkout button > Verify that the online payment processes correctly ,"Payment should be processed successfully, and an order confirmation should be displayed","Payment should be processed successfully, and an order confirmation should be displayed",pass,low, -,additional features planned
Tc017,Validate stock update after successful payment,Complete a purchase > Verify stock updates in Sanity,Stock quantity should decrease by the purchased amount in Sanity dashboard,Stock updated correctly in Sanity,pass,low, -,no issues found
